과목명,과목번호,이수학점,교수명,시작시간,종료시간,날짜
Prototyping & Fabrication,DESINV 22 1,3,Christopher Myers,12:00PM,02:59PM,"Jun 22, 2026 - Aug 14, 2026"
Introduction to Economics,ECON 1 001,4,James D Campbell,12:00PM,01:59PM,"Jun 22, 2026 - Aug 14, 2026"
K-8 Teaching and Inquiry-Based Lesson Design in the Science and Mathematics Classroom,EDSTEM 82 001,2,,02:00PM,03:59PM,"Jun 22, 2026 - Aug 14, 2026"
Introduction to Environmental Design,ENVDES 1 001,3,,01:00PM,03:59PM,"Jun 22, 2026 - Aug 14, 2026"
Elementary French,FRENCH 1 002,5,,10:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
Elementary French,FRENCH 2 001,5,,10:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
Life During the Age of Dinosaurs,INTEGBI 33 001,3,,09:00AM,10:29AM,"Jun 22, 2026 - Aug 14, 2026"
Human Biological Variation,INTEGBI 35AC 001,4,,12:00PM,01:59PM,"Jun 22, 2026 - Aug 14, 2026"
Origins and Evolution of Food Plants,INTEGBI 51 001,3,Eric Scato Jan Harris,04:00PM,05:59PM,"Jun 22, 2026 - Aug 14, 2026"
Drawing a Green Future: Fundamentals of Visual Representation and Creativity,LDARCH 1 001,4,,09:00AM,10:59AM,"Jun 22, 2026 - Aug 14, 2026"
"Methods of Mathematics: Calculus, Statistics, and Combinatorics",MATH 10A 001,4,,02:00PM,03:59PM,"Jun 22, 2026 - Aug 14, 2026"
Analytic Geometry and Calculus,MATH 16A 001,3,,12:00PM,01:59PM,"Jun 22, 2026 - Aug 14, 2026"
Analytic Geometry and Calculus,MATH 16B 001,3,,10:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
Calculus I,MATH 51 001,4,,10:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
Calculus II,MATH 52 001,4,,10:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
Calculus II,MATH 52 002,4,,12:00PM,01:59PM,"Jun 22, 2026 - Aug 14, 2026"
Calculus II,MATH 52 003,4,,02:00PM,03:59PM,"Jun 22, 2026 - Aug 14, 2026"
Multivariable Calculus,MATH 53 001,4,,10:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
Multivariable Calculus,MATH 53 002,4,,12:00PM,01:59PM,"Jun 22, 2026 - Aug 14, 2026"
Multivariable Calculus,MATH 53 003,4,,02:00PM,03:59PM,"Jun 22, 2026 - Aug 14, 2026"
Linear Algebra and Differential Equations,MATH 54 001,4,,10:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
Linear Algebra and Differential Equations,MATH 54 002,4,,12:00PM,01:59PM,"Jun 22, 2026 - Aug 14, 2026"
Linear Algebra and Differential Equations,MATH 54 003,4,,02:00PM,03:59PM,"Jun 22, 2026 - Aug 14, 2026"
Discrete Mathematics,MATH 55 001,4,,10:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
Discrete Mathematics,MATH 55 002,4,,12:00PM,01:59PM,"Jun 22, 2026 - Aug 14, 2026"
Discrete Mathematics,MATH 55 003,4,,02:00PM,03:59PM,"Jun 22, 2026 - Aug 14, 2026"
Introduction to Human Physiology,MCELLBI 32 001,3,Robin Ball,10:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
Exploring the Brain: Introduction to Neuroscience,NEU C64 001,3,,10:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
Individual Morality and Social Justice,PHILOS 2 003,4,,10:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
Physics for Scientists and Engineers,PHYSICS 7A 001,4,,08:00AM,09:29AM,"Jun 22, 2026 - Aug 14, 2026"
Physics for Scientists and Engineers,PHYSICS 7B 001,4,,11:00AM,12:29PM,"Jun 22, 2026 - Aug 14, 2026"
Introductory Physics,PHYSICS 8B 001,4,,08:00AM,09:29AM,"Jun 22, 2026 - Aug 14, 2026"
Exploring the Brain: Introduction to Neuroscience,PSYCH C64 001,3,,10:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
Evaluation of Evidence,SOCIOL 5 001,4,Peter Hurtubise,10:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
Foundations of Data Science,STAT C8 001,4,,11:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
Introduction to Probability and Statistics,STAT 20 001,4,,02:30PM,03:59PM,"Jun 22, 2026 - Aug 14, 2026"
